index,lon,lat,taxonomy,number,structural,night,ID_1,id,occupancy
38,16.108749977,47.292083338,CR/LWAL+CDH/HBET:3-5,0.9866497139224415,5003388.411315957,0.0,AUT.1_1,Com_38,Com
39,16.108749977,47.292083338,CR/LWAL+CDN/H:2,3.0267129981539815,8990663.629783912,0.0,AUT.1_1,Com_39,Com
40,16.108749977,47.292083338,CR/LWAL+CDN/HBET:3-5,0.9588057220870183,4705906.876286579,0.0,AUT.1_1,Com_40,Com
41,16.108749977,47.292083338,MUR+CL/LWAL+CDN/H:1,0.9986934827025449,2399826.168173794,0.0,AUT.1_1,Com_41,Com
42,16.108749977,47.292083338,MUR+CL/LWAL+CDN/H:2,1.001664394920602,2659960.6765130726,0.0,AUT.1_1,Com_42,Com
43,16.108749977,47.342083338,CR+PC/LWAL+CDH/HBET:3-5,2.0559291279752387,7216849.844807346,0.0,AUT.1_1,Com_43,Com
44,16.108749977,47.342083338,CR+PC/LWAL+CDH/HBET:6-,0.9509712443803546,4152457.386580711,0.0,AUT.1_1,Com_44,Com
45,16.108749977,47.342083338,CR+PC/LWAL+CDL/HBET:3-5/3.0,1.9994257234858586,7864328.284718092,0.0,AUT.1_1,Com_45,Com
46,16.108749977,47.342083338,CR+PC/LWAL+CDM/HBET:6-,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_46,Com
47,16.108749977,47.342083338,CR/LFINF+CDL/H:1/3.0,1.0017373569513164,2972505.1458020178,0.0,AUT.1_1,Com_47,Com
48,16.108749977,47.342083338,CR/LFINF+CDL/HBET:3-5/3.0,3.013837861031403,12413638.20791252,0.0,AUT.1_1,Com_48,Com
49,16.108749977,47.342083338,CR/LFINF+CDL/HBET:6-/3.0,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_49,Com
50,16.108749977,47.342083338,CR/LFINF+CDM/HBET:3-5,1.006200984862302,3995482.716930406,0.0,AUT.1_1,Com_50,Com
51,16.108749977,47.342083338,CR/LFINF+CDN/H:1,1.0835886750827315,3215386.6382890083,0.0,AUT.1_1,Com_51,Com
52,16.108749977,47.342083338,CR/LFINF+CDN/HBET:6-,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_52,Com
53,16.108749977,47.342083338,CR/LWAL+CDL/H:2/3.0,0.9313623532907443,2767230.295052741,0.0,AUT.1_1,Com_53,Com
54,16.108749977,47.342083338,CR/LWAL+CDM/H:2,0.9313623532907443,2767230.295052741,0.0,AUT.1_1,Com_54,Com
55,16.108749977,47.342083338,CR/LWAL+CDN/HBET:3-5,0.9588057220870183,4705906.876286579,0.0,AUT.1_1,Com_55,Com
56,16.108749977,47.342083338,MUR+CL/LWAL+CDN/H:1,6.990854378917814,16798783.17721656,0.0,AUT.1_1,Com_56,Com
57,16.108749977,47.342083338,MUR+CL/LWAL+CDN/H:2,2.003328789841204,5319921.353026145,0.0,AUT.1_1,Com_57,Com
58,16.108749977,47.342083338,W/LWAL+CDL/H:1,0.17229059933815122,462549.9159098093,0.0,AUT.1_1,Com_58,Com
59,16.108749977,47.392083338,CR/LFINF+CDL/H:1/3.0,1.0017373569513164,2972505.1458020178,0.0,AUT.1_1,Com_59,Com
60,16.108749977,47.392083338,CR/LFINF+CDM/HBET:3-5,4.024803939449208,15981930.867721625,0.0,AUT.1_1,Com_60,Com
61,16.108749977,47.392083338,CR/LFINF+CDN/HBET:6-,0.08089623421420286,451737.90675303526,0.0,AUT.1_1,Com_61,Com
62,16.108749977,47.392083338,CR/LWAL+CDM/HBET:3-5,1.0319109956363879,5671419.745777955,0.0,AUT.1_1,Com_62,Com
63,16.108749977,47.392083338,MUR+CL/LWAL+CDN/H:1,0.9986934827025449,2399826.168173794,0.0,AUT.1_1,Com_63,Com
64,16.108749977,47.392083338,MUR+CL/LWAL+CDN/H:2,2.003328789841204,5319921.353026145,0.0,AUT.1_1,Com_64,Com
65,16.108749977,47.392083338,W/LWAL+CDL/H:2,1.0835886750827315,2909118.9679862745,0.0,AUT.1_1,Com_65,Com
66,16.158749976999996,46.942083337999996,CR+PC/LWAL+CDL/HBET:3-5/3.0,1.9994257234858586,7864328.284718092,0.0,AUT.1_1,Com_66,Com
67,16.158749976999996,46.942083337999996,CR+PC/LWAL+CDL/HBET:6-/3.0,0.9509712443803546,4152457.386580711,0.0,AUT.1_1,Com_67,Com
68,16.158749976999996,46.942083337999996,CR+PC/LWAL+CDM/HBET:6-,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_68,Com
69,16.158749976999996,46.942083337999996,CR+PC/LWAL+CDN/HBET:3-5,1.0038578946382757,4739170.072588348,0.0,AUT.1_1,Com_69,Com
70,16.158749976999996,46.942083337999996,CR/LFINF+CDL/H:1/3.0,1.0017373569513164,2972505.1458020178,0.0,AUT.1_1,Com_70,Com
71,16.158749976999996,46.942083337999996,CR/LFINF+CDL/HBET:3-5/3.0,2.009225240687602,8275758.805275013,0.0,AUT.1_1,Com_71,Com
72,16.158749976999996,46.942083337999996,CR/LFINF+CDM/HBET:3-5,1.006200984862302,3995482.716930406,0.0,AUT.1_1,Com_72,Com
73,16.158749976999996,46.942083337999996,CR/LFINF+CDN/HBET:3-5,3.0076194197518817,11682835.179533072,0.0,AUT.1_1,Com_73,Com
74,16.158749976999996,46.942083337999996,CR/LWAL+CDH/HBET:3-5,0.9866497139224415,5003388.411315957,0.0,AUT.1_1,Com_74,Com
75,16.158749976999996,46.942083337999996,CR/LWAL+CDN/H:2,2.0178086654359877,5993775.753189274,0.0,AUT.1_1,Com_75,Com
76,16.158749976999996,46.942083337999996,CR/LWAL+CDN/HBET:3-5,0.9588057220870183,4705906.876286579,0.0,AUT.1_1,Com_76,Com
77,16.158749976999996,46.942083337999996,MUR+CL/LWAL+CDN/H:1,6.990854378917814,16798783.17721656,0.0,AUT.1_1,Com_77,Com
78,16.158749976999996,46.942083337999996,MUR+CL/LWAL+CDN/H:2,8.013315159364817,21279685.41210458,0.0,AUT.1_1,Com_78,Com
79,16.158749976999996,46.992083338,CR+PC/LWAL+CDL/HBET:3-5/3.0,1.5135652726787907,5953296.511531578,0.0,AUT.1_1,Com_79,Com
80,16.158749976999996,46.992083338,CR/LFINF+CDL/H:2/3.0,1.0835886750827315,3215386.6382890083,0.0,AUT.1_1,Com_80,Com
81,16.158749976999996,46.992083338,CR/LFINF+CDL/HBET:3-5/3.0,4.018450481375204,16551517.610550025,0.0,AUT.1_1,Com_81,Com
82,16.158749976999996,46.992083338,CR/LFINF+CDL/HBET:6-/3.0,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_82,Com
83,16.158749976999996,46.992083338,CR/LFINF+CDM/HBET:3-5,1.006200984862302,3995482.716930406,0.0,AUT.1_1,Com_83,Com
84,16.158749976999996,46.992083338,CR/LWAL+CDH/HBET:3-5,0.7419605848696713,3762548.0853095767,0.0,AUT.1_1,Com_84,Com
85,16.158749976999996,46.992083338,MUR+CL/LWAL+CDN/H:1,1.9973869654050898,4799652.336347588,0.0,AUT.1_1,Com_85,Com
86,16.158749976999996,46.992083338,MUR+CL/LWAL+CDN/H:2,3.0049931847618065,7979882.029539218,0.0,AUT.1_1,Com_86,Com
87,16.158749976999996,47.042083338,CR+PC/LWAL+CDH/HBET:6-,0.9509712443803546,4152457.386580711,0.0,AUT.1_1,Com_87,Com
88,16.158749976999996,47.042083338,CR+PC/LWAL+CDM/HBET:3-5,1.0144938911126813,4240279.028930226,0.0,AUT.1_1,Com_88,Com
89,16.158749976999996,47.042083338,CR+PC/LWAL+CDN/HBET:3-5,1.0038578946382757,4739170.072588348,0.0,AUT.1_1,Com_89,Com
90,16.158749976999996,47.042083338,CR/LFINF+CDL/HBET:6-/3.0,1.024002964736737,5718201.351304199,0.0,AUT.1_1,Com_90,Com
